Filename,file type,file size,file modify date,file access date,dimensions,Steganography Present,Steganography Algorithm,Signature
/home/darren/Desktop/Ramses/TestMediaRam/testMP.mp4,MP4,109 MB,2014:01:22 13:16:16+00:00,2019:06:07 15:28:44+01:00,320x240,OpenPuff Steganography,yes,Flag Modification
/home/darren/Desktop/RAMSES_OEMSR/tutorials/OEMSR_01_Introduction.mp4,MP4,18 MB,2018:10:11 15:11:29+01:00,2019:06:07 14:06:26+01:00,1920x1080,None,None,None
/home/darren/Desktop/RAMSES_OEMSR/tutorials/OEMSR_04_DiscriminatoryRansom_3_none.mp4,MP4,4.9 MB,2018:10:11 15:11:29+01:00,2019:06:07 14:06:26+01:00,1920x1080,None,None,None
/home/darren/Desktop/RAMSES_OEMSR/tutorials/OEMSR_Brussels_demo_video.mp4,MP4,12 MB,2018:10:11 15:11:32+01:00,2019:06:07 14:06:26+01:00,1920x1080,None,None,None
/home/darren/Desktop/RAMSES_OEMSR/tutorials/OEMSR_03_DiscriminatoryRansom_2_brackets.mp4,MP4,8.1 MB,2018:10:11 15:11:29+01:00,2019:06:07 14:06:26+01:00,1920x1080,None,None,None
/home/darren/Desktop/RAMSES_OEMSR/tutorials/OEMSR_02_DiscriminatoryRansom_1_population.mp4,MP4,15 MB,2018:10:11 15:11:29+01:00,2019:06:07 14:06:27+01:00,1920x1080,None,None,None
/home/darren/Desktop/Video/MP4 (12).mp4,MP4,108 MB,2014:01:23 16:18:26+00:00,2019:06:07 13:56:01+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (17).mp4,MP4,118 MB,2014:01:23 15:52:14+00:00,2019:06:07 14:07:07+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (18).mp4,MP4,54 MB,2014:01:23 13:38:28+00:00,2019:06:07 14:07:08+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (46).MP4,MP4,19 MB,2016:08:07 14:59:00+01:00,2019:06:07 13:57:31+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (35)_Out.MP4,MP4,18 MB,2016:12:13 10:37:28+00:00,2019:06:07 13:57:24+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (13).mp4,MP4,109 MB,2014:01:23 11:37:12+00:00,2019:06:07 13:56:06+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (29).MP4,MP4,12 MB,2016:12:20 18:24:40+00:00,2019:06:07 14:07:11+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (28).mp4,MP4,31 MB,2016:12:20 18:24:04+00:00,2019:06:07 13:57:20+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (23).mp4,MP4,235 MB,2016:12:20 18:19:58+00:00,2019:06:07 14:07:14+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (34)_Out.MP4,MP4,12 MB,2016:12:13 10:06:42+00:00,2019:06:07 14:07:15+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (38)_Out.MP4,MP4,14 MB,2016:12:13 10:38:54+00:00,2019:06:07 13:57:26+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (43).MP4,MP4,21 MB,2016:08:07 13:30:54+01:00,2019:06:07 13:57:29+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (42).MP4,MP4,15 MB,2016:08:07 13:19:02+01:00,2019:06:07 13:57:28+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (32)_Out.MP4,MP4,14 MB,2016:12:13 10:04:58+00:00,2019:06:07 13:57:22+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (16).mp4,MP4,115 MB,2014:01:23 16:33:20+00:00,2019:06:07 13:56:20+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (20).mp4,MP4,47 MB,2014:01:23 13:33:30+00:00,2019:06:07 13:56:32+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (37)_Out.MP4,MP4,17 MB,2016:12:13 10:38:32+00:00,2019:06:07 13:57:25+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (27).mp4,MP4,112 MB,2016:12:20 18:23:18+00:00,2019:06:07 14:07:21+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (49).MP4,MP4,192 MB,2015:07:17 05:51:24+01:00,2019:06:07 13:57:45+01:00,1920x1080,None,None,None
/home/darren/Desktop/Video/MP4 (11).mp4,MP4,108 MB,2014:01:27 11:52:06+00:00,2019:06:07 14:07:24+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (36)_Out.MP4,MP4,12 MB,2016:12:13 10:38:08+00:00,2019:06:07 14:07:25+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (19).mp4,MP4,62 MB,2014:01:23 13:54:12+00:00,2019:06:07 13:56:30+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (45).MP4,MP4,15 MB,2016:08:07 14:51:16+01:00,2019:06:07 14:07:26+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (31)_Out.MP4,MP4,15 MB,2016:12:13 10:04:22+00:00,2019:06:07 14:07:26+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (8).mp4,MP4,76 MB,2014:01:24 12:00:48+00:00,2019:06:07 14:07:28+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (47).MP4,MP4,19 MB,2016:08:07 18:13:54+01:00,2019:06:07 13:57:32+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (44).MP4,MP4,21 MB,2016:08:07 14:10:26+01:00,2019:06:07 13:57:30+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (30).MP4,MP4,12 MB,2016:12:20 18:25:06+00:00,2019:06:07 13:57:21+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (21).mp4,MP4,181 MB,2016:12:20 18:17:54+00:00,2019:06:07 13:56:40+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (4).mp4,MP4,45 MB,2014:01:23 11:24:40+00:00,2019:06:07 13:55:33+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (14).mp4,MP4,109 MB,2014:01:22 13:16:16+00:00,2019:06:07 14:07:33+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (50).MP4,MP4,137 MB,2015:07:17 05:53:36+01:00,2019:06:07 14:07:35+01:00,1920x1080,None,None,None
/home/darren/Desktop/Video/MP4 (41).MP4,MP4,14 MB,2016:08:07 13:16:02+01:00,2019:06:07 14:07:36+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (22).mp4,MP4,92 MB,2016:12:20 18:18:34+00:00,2019:06:07 13:56:44+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (25).mp4,MP4,116 MB,2016:12:20 18:20:56+00:00,2019:06:07 14:07:39+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (26).mp4,MP4,223 MB,2016:12:20 18:22:44+00:00,2019:06:07 13:57:14+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (39)_Out.MP4,MP4,14 MB,2016:12:13 10:39:12+00:00,2019:06:07 14:07:42+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (5).mp4,MP4,50 MB,2014:01:23 12:51:02+00:00,2019:06:07 14:07:43+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (1).MP4,MP4,96 MB,2015:07:17 05:45:54+01:00,2019:06:07 14:07:44+01:00,1920x1080,None,None,None
/home/darren/Desktop/Video/MP4 (24).mp4,MP4,122 MB,2016:12:20 18:20:28+00:00,2019:06:07 14:07:46+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (40)_Out.MP4,MP4,16 MB,2016:12:13 10:39:38+00:00,2019:06:07 13:57:27+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (9).mp4,MP4,63 MB,2014:01:23 12:55:08+00:00,2019:06:07 13:55:47+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (48).MP4,MP4,103 MB,2015:07:17 05:47:00+01:00,2019:06:07 14:07:49+01:00,1920x1080,None,None,None
/home/darren/Desktop/Video/MP4 (15).mp4,MP4,116 MB,2014:01:22 15:16:28+00:00,2019:06:07 13:56:15+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (3).mp4,MP4,124 MB,2014:01:24 13:30:38+00:00,2019:06:07 14:07:52+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (2).mp4,MP4,201 MB,2014:01:23 13:51:24+00:00,2019:06:07 13:55:26+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (6).mp4,MP4,115 MB,2014:01:27 12:33:38+00:00,2019:06:07 13:55:40+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (10).mp4,MP4,118 MB,2014:01:22 13:06:02+00:00,2019:06:07 13:55:52+01:00,320x240,None,None,None
/home/darren/Desktop/Video/MP4 (33)_Out.MP4,MP4,14 MB,2016:12:13 10:05:52+00:00,2019:06:07 13:57:23+01:00,1280x720,None,None,None
/home/darren/Desktop/Video/MP4 (7).mp4,MP4,29 MB,2014:01:23 13:55:46+00:00,2019:06:07 14:07:59+01:00,320x240,None,None,None
