Filename,file type,file size,file modify date,file access date,dimensions,Steganography Present,Steganography Algorithm,Signature
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/stego_6666458261_e455d262b5_z.png,PNG,657 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x480,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/Pixelknot (5).jpg,JPEG,200 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,1280x853,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7231623538_f51db2a35a_z.png,PNG,548 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x427,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7232202430_d38b6d6986_z.png,PNG,552 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/Pixelknot (6).jpg,JPEG,245 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,1280x853,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/Pixelknot (10).jpg,JPEG,450 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,1280x853,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/Pixelknot (1).jpg,JPEG,296 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,1280x853,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7232220662_3d42c69109_z.png,PNG,540 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7234473324_bb8a82b5bd.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7222762386_2688184c8e.png,PNG,130 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,276x500,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/Pixelknot (2).jpg,JPEG,331 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,1280x853,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7237798856_86870c8823_z.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x431,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/ImageTestSet/clean_7221186570_82a10bc040_z.png,PNG,387 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:30-07:00,640x425,No,None,
