filename,file_type,file_size,file_modify_date,file_access_date,dimensions,sha1_hash,steganography_present,steganography_algorithm,signature
IMG_20131127_103907.jpg.jpg,JPEG,93 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:49+01:00,1080x1080,9db160a31160fc659ea4c432f271476cb0207b93,Yes,PixelKnot Steganography,ffe000104a464946000101000001
stego_6672542201_532f70bffe.png,PNG,359 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:50+01:00,500x400,2b82523166071003f38d5e815cf0903486bd7ef2,No,None,
Sp_D_CRN_A_cha0077_pla0022_0382.jpg,JPEG,61 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:51+01:00,384x256,7db30c8ab6b252ff48033d98c8922bb775e11efd,No,None,
20160113_132618.jpg_114458435818186.jpg,JPEG,420 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:51+01:00,1536x2048,94d378ecbf6b715d40b3331d0efe5dec7229156a,No,None,
compromised_banner_pixelknot.jpg,JPEG,450 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:51+01:00,1280x960,b2ae75b7d2bb1576989fbfaaee1e91320e62d319,Yes,PixelKnot Steganography,ffe000104a464946000101000001
red_tower_copy.png,PNG,7.9 MB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:52+01:00,3264x2448,9975b50f0554052dd6292989327d96b8751f1f2b,No,None,
stego_6672108499_85c582a7f9.png,PNG,429 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:53+01:00,500x357,ea316e4675129f6f1ccafe15852ee614033883de,No,None,
Pixelknot (6).jpg,JPEG,245 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:53+01:00,1280x853,a7736d1cb50e700f415b6027bb634354c8badb83,Yes,PixelKnot Steganography,ffe000104a464946000101000001
clean_7228374452_8f743dc3d4_z.png,PNG,394 kB,2019:09:09 15:14:32+01:00,2019:09:10 21:31:53+01:00,640x427,eef8eed906f5436d536bf2cf1d7146aa3ad3711d,No,None,
