Filename,file type,file size,file modify date,file access date,dimensions,Steganography Present,Steganography Algorithm,Signature
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (20).mp4,MP4,47 MB,2014:01:23 05:33:30-08:00,2019:06:04 10:33:42-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (8).mp4,MP4,76 MB,2014:01:24 04:00:48-08:00,2019:06:04 10:33:43-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7231623538_f51db2a35a_z.png,PNG,548 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:48-07:00,640x427,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7232202430_d38b6d6986_z.png,PNG,552 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:48-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (43).MP4,MP4,21 MB,2016:08:07 05:30:54-07:00,2019:06:04 10:33:43-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (39)_Out.MP4,MP4,14 MB,2016:12:13 02:39:12-08:00,2019:06:04 10:33:43-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7232220662_3d42c69109_z.png,PNG,540 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:48-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7234473324_bb8a82b5bd.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:48-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7222762386_2688184c8e.png,PNG,130 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:48-07:00,276x500,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (33)_Out.MP4,MP4,14 MB,2016:12:13 02:05:52-08:00,2019:06:04 10:33:43-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (21).mp4,MP4,181 MB,2016:12:20 10:17:54-08:00,2019:06:04 10:33:43-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (42).MP4,MP4,15 MB,2016:08:07 05:19:02-07:00,2019:06:04 10:33:44-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (14).mp4,MP4,109 MB,2014:01:22 05:16:16-08:00,2019:06:04 10:33:44-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (23).mp4,MP4,235 MB,2016:12:20 10:19:58-08:00,2019:06:04 10:33:44-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (38)_Out.MP4,MP4,14 MB,2016:12:13 02:38:54-08:00,2019:06:04 10:33:44-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (24).mp4,MP4,122 MB,2016:12:20 10:20:28-08:00,2019:06:04 10:33:44-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (22).mp4,MP4,92 MB,2016:12:20 10:18:34-08:00,2019:06:04 10:33:44-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (12).mp4,MP4,108 MB,2014:01:23 08:18:26-08:00,2019:06:04 10:33:45-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (17).mp4,MP4,118 MB,2014:01:23 07:52:14-08:00,2019:06:04 10:33:45-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (19).mp4,MP4,62 MB,2014:01:23 05:54:12-08:00,2019:06:04 10:33:45-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (48).MP4,MP4,103 MB,2015:07:16 21:47:00-07:00,2019:06:04 10:33:45-07:00,1920x1080,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (1).MP4,MP4,96 MB,2015:07:16 21:45:54-07:00,2019:06:04 10:33:45-07:00,1920x1080,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7237798856_86870c8823_z.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:52-07:00,640x431,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7221186570_82a10bc040_z.png,PNG,387 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:52-07:00,640x425,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7235558256_3099066753.png,PNG,340 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:52-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (5).mp4,MP4,50 MB,2014:01:23 04:51:02-08:00,2019:06:04 10:33:46-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (2).mp4,MP4,201 MB,2014:01:23 05:51:24-08:00,2019:06:04 10:33:46-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (49).MP4,MP4,192 MB,2015:07:16 21:51:24-07:00,2019:06:04 10:33:46-07:00,1920x1080,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (45).MP4,MP4,15 MB,2016:08:07 06:51:16-07:00,2019:06:04 10:33:46-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (6).mp4,MP4,115 MB,2014:01:27 04:33:38-08:00,2019:06:04 10:33:46-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (15).mp4,MP4,116 MB,2014:01:22 07:16:28-08:00,2019:06:04 10:33:46-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (16).mp4,MP4,115 MB,2014:01:23 08:33:20-08:00,2019:06:04 10:33:47-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7232206610_b8cfded120_z.png,PNG,521 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:54-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (35)_Out.MP4,MP4,18 MB,2016:12:13 02:37:28-08:00,2019:06:04 10:33:47-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (26).mp4,MP4,223 MB,2016:12:20 10:22:44-08:00,2019:06:04 10:33:47-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (9).mp4,MP4,63 MB,2014:01:23 04:55:08-08:00,2019:06:04 10:33:47-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/IMG_0265.JPG.jpg,JPEG,86 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:54-07:00,1080x1080,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7232193260_c2fd8c0f25_z.png,PNG,570 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:54-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (25).mp4,MP4,116 MB,2016:12:20 10:20:56-08:00,2019:06:04 10:33:47-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7228374452_8f743dc3d4_z.png,PNG,394 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:55-07:00,640x427,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (3).mp4,MP4,124 MB,2014:01:24 05:30:38-08:00,2019:06:04 10:33:48-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (18).mp4,MP4,54 MB,2014:01:23 05:38:28-08:00,2019:06:04 10:33:48-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (27).mp4,MP4,112 MB,2016:12:20 10:23:18-08:00,2019:06:04 10:33:48-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/clean_7235972310_8c25258da5.png,PNG,333 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:55-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (4).mp4,MP4,45 MB,2014:01:23 03:24:40-08:00,2019:06:04 10:33:48-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (28).mp4,MP4,31 MB,2016:12:20 10:24:04-08:00,2019:06:04 10:33:48-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (36)_Out.MP4,MP4,12 MB,2016:12:13 02:38:08-08:00,2019:06:04 10:33:48-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (50).MP4,MP4,137 MB,2015:07:16 21:53:36-07:00,2019:06:04 10:33:49-07:00,1920x1080,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (7).mp4,MP4,29 MB,2014:01:23 05:55:46-08:00,2019:06:04 10:33:49-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (37)_Out.MP4,MP4,17 MB,2016:12:13 02:38:32-08:00,2019:06:04 10:33:49-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/IMG00007-20130311-0847.jpg_103818893548807.jpg,JPEG,380 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:56-07:00,1600x1200,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (32)_Out.MP4,MP4,14 MB,2016:12:13 02:04:58-08:00,2019:06:04 10:33:49-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (44).MP4,MP4,21 MB,2016:08:07 06:10:26-07:00,2019:06:04 10:33:49-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (34)_Out.MP4,MP4,12 MB,2016:12:13 02:06:42-08:00,2019:06:04 10:33:49-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (30).MP4,MP4,12 MB,2016:12:20 10:25:06-08:00,2019:06:04 10:33:50-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (11).mp4,MP4,108 MB,2014:01:27 03:52:06-08:00,2019:06:04 10:33:50-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/compromised_banner_mcrypt.jpg,JPEG,5.4 MB,2019:06:04 07:34:32-07:00,2019:06:04 09:21:59-07:00,4032x3024,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/how-to-become-a-hacker-735x400.jpg,JPEG,87 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:41-07:00,735x400,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7231623538_f51db2a35a_z.png,PNG,548 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x427,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7232202430_d38b6d6986_z.png,PNG,552 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7232220662_3d42c69109_z.png,PNG,540 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7234473324_bb8a82b5bd.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7222762386_2688184c8e.png,PNG,130 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,276x500,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7237798856_86870c8823_z.png,PNG,223 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x431,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7221186570_82a10bc040_z.png,PNG,387 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x425,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7235558256_3099066753.png,PNG,340 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7232206610_b8cfded120_z.png,PNG,521 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/IMG_0265.JPG.jpg,JPEG,86 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:41-07:00,1080x1080,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7232193260_c2fd8c0f25_z.png,PNG,570 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x424,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7228374452_8f743dc3d4_z.png,PNG,394 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,640x427,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/clean_7235972310_8c25258da5.png,PNG,333 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:31-07:00,500x333,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Image/IMG00007-20130311-0847.jpg_103818893548807.jpg,JPEG,380 kB,2019:06:04 07:34:32-07:00,2019:06:04 08:00:41-07:00,1600x1200,No,None,
