Filename,file type,file size,file modify date,file access date,dimensions,Steganography Present,Steganography Algorithm,Signature
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (41).MP4,MP4,14 MB,2016:08:07 05:16:02-07:00,2019:06:04 09:51:07-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/compromised_banner_mcrypt.jpg,JPEG,5.4 MB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:46-07:00,4032x3024,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/how-to-become-a-hacker-735x400.jpg,JPEG,87 kB,2019:06:04 07:34:32-07:00,2019:06:04 12:57:46-07:00,735x400,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (40)_Out.MP4,MP4,16 MB,2016:12:13 02:39:38-08:00,2019:06:04 10:33:41-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (47).MP4,MP4,19 MB,2016:08:07 10:13:54-07:00,2019:06:04 10:33:41-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (29).MP4,MP4,12 MB,2016:12:20 10:24:40-08:00,2019:06:04 10:33:41-07:00,1280x720,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (10).mp4,MP4,118 MB,2014:01:22 05:06:02-08:00,2019:06:04 10:33:41-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (46).MP4,MP4,19 MB,2016:08:07 06:59:00-07:00,2019:06:04 10:33:42-07:00,1280x720,Yes,BDV Steganography,fbead881250ff9
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (13).mp4,MP4,109 MB,2014:01:23 03:37:12-08:00,2019:06:04 10:33:42-07:00,320x240,No,None,
/home/dhurleysmith/Desktop/RAMSES_StegAware/TestMediaRam/Video/MP4 (31)_Out.MP4,MP4,15 MB,2016:12:13 02:04:22-08:00,2019:06:04 10:33:42-07:00,1280x720,No,None,
